layer,n,stat,p_value
0,5,5.0,0.625
1,5,4.0,0.4375
2,5,5.0,0.625
3,5,5.0,0.625
4,5,5.0,0.625
5,5,7.0,1.0
6,5,5.0,0.625
7,5,3.0,0.3125
8,5,5.0,0.625
9,5,6.0,0.8125
10,5,7.0,1.0
11,5,5.0,0.625
12,5,0.0,0.0625
13,5,5.0,0.625
14,5,5.0,0.625
15,5,5.0,0.625
16,5,1.0,0.125
17,5,5.0,0.625
18,5,3.0,0.3125
19,5,3.0,0.3125
20,5,1.0,0.125
21,5,2.0,0.1875
22,5,0.0,0.0625
23,5,0.0,0.0625
24,5,0.0,0.0625
25,5,0.0,0.0625
26,5,2.0,0.1875
27,5,0.0,0.0625
28,5,7.0,1.0
29,5,3.0,0.3125
30,5,5.0,0.625
31,5,5.0,0.625
