layer,n,stat,p_value
0,3,0.0,0.25
1,3,2.0,0.75
2,3,1.0,0.5
3,3,0.0,0.25
4,3,2.0,0.75
5,3,2.0,0.75
6,3,2.0,0.75
7,3,2.0,0.75
8,3,0.0,0.25
9,3,2.0,0.75
10,3,0.0,0.25
11,3,0.0,0.25
12,3,3.0,1.0
13,3,0.0,0.25
14,3,1.0,0.5
15,3,1.0,0.5
16,3,0.0,0.25
17,3,0.0,0.25
18,3,0.0,0.25
19,3,3.0,1.0
20,3,0.0,0.25
21,3,0.0,0.25
22,3,0.0,0.25
23,3,1.0,0.5
24,3,2.0,0.75
25,3,3.0,1.0
26,3,0.0,0.25
27,3,3.0,1.0
28,3,0.0,0.25
29,3,2.0,0.75
30,3,1.0,0.5
31,3,0.0,0.25
