layer,n,stat,p_value
0,4,1.0,0.25
1,4,0.0,0.125
2,4,3.0,0.625
3,4,2.0,0.375
4,4,3.0,0.625
5,4,0.0,0.125
6,4,1.0,0.25
7,4,1.0,0.25
8,4,0.0,0.125
9,4,0.0,0.125
10,4,0.0,0.125
11,4,3.0,0.625
12,4,4.0,0.875
13,4,3.0,0.625
14,4,3.0,0.625
15,4,5.0,1.0
16,4,5.0,1.0
17,4,5.0,1.0
18,4,5.0,1.0
19,4,5.0,1.0
20,4,3.0,0.625
21,4,4.0,0.875
22,4,3.0,0.625
23,4,3.0,0.625
24,4,3.0,0.625
25,4,4.0,0.875
26,4,4.0,0.875
27,4,3.0,0.625
28,4,4.0,0.875
29,4,3.0,0.625
30,4,4.0,0.875
31,4,4.0,0.875
