layer,n,stat,p_value
0,3,0.0,0.25
1,3,0.0,0.25
2,3,2.0,0.75
3,3,1.0,0.5
4,3,3.0,1.0
5,3,0.0,0.25
6,3,1.0,0.5
7,3,0.0,0.25
8,3,0.0,0.25
9,3,2.0,0.75
10,3,0.0,0.25
11,3,0.0,0.25
12,3,3.0,1.0
13,3,3.0,1.0
14,3,2.0,0.75
15,3,2.0,0.75
16,3,0.0,0.25
17,3,1.0,0.5
18,3,1.0,0.5
19,3,2.0,0.75
20,3,0.0,0.25
21,3,0.0,0.25
22,3,1.0,0.5
23,3,2.0,0.75
24,3,1.0,0.5
25,3,1.0,0.5
26,3,1.0,0.5
27,3,2.0,0.75
28,3,3.0,1.0
29,3,0.0,0.25
30,3,1.0,0.5
31,3,0.0,0.25
