layer,n,stat,p_value
0,3,2.0,0.75
1,3,2.0,0.75
2,3,3.0,1.0
3,3,0.0,0.25
4,3,1.0,0.5
5,3,1.0,0.5
6,3,1.0,0.5
7,3,1.0,0.5
8,3,1.0,0.5
9,3,2.0,0.75
10,3,3.0,1.0
11,3,3.0,1.0
12,3,1.0,0.5
13,3,3.0,1.0
14,3,2.0,0.75
15,3,3.0,1.0
16,3,3.0,1.0
17,3,3.0,1.0
18,3,2.0,0.75
19,3,3.0,1.0
20,3,3.0,1.0
21,3,2.0,0.75
22,3,3.0,1.0
23,3,3.0,1.0
24,3,3.0,1.0
25,3,3.0,1.0
26,3,2.0,0.75
27,3,2.0,0.75
28,3,3.0,1.0
29,3,2.0,0.75
30,3,2.0,0.75
31,3,2.0,0.75
